---
stand: 2026-03-02 23:30
update: Runbook um kanonischen Sim-Verifikationsablauf erweitert und mit Sim-README/TODO synchronisiert.
checks: npx --yes markdownlint-cli2 --config .markdownlint-cli2.jsonc 'novapolis_agent/docs/runbook.md' 'novapolis-sim/README.md' 'novapolis-dev/docs/todo.sim.md' 'novapolis-dev/docs/todo.index.md' 'novapolis-dev/docs/donelog.md' 'novapolis_agent/docs/DONELOG.txt' PASS (2026-03-02 23:06); .\.venv\Scripts\python.exe scripts\check_frontmatter.py 'novapolis_agent/docs/runbook.md' 'novapolis-sim/README.md' 'novapolis-dev/docs/todo.sim.md' 'novapolis-dev/docs/todo.index.md' 'novapolis-dev/docs/donelog.md' 'novapolis_agent/docs/DONELOG.txt' PASS (EXITCODE=0, 2026-03-02 23:06)
---


Postflight
----------
Meta: Modus=Postflight, Modell=GPT-5, Arbeitsverzeichnis=F:\VS Code Workspace\Main, RepoRoot=F:\VS Code Workspace\Main, PSScriptRoot=F:\VS Code Workspace\Main\scripts, PSVersion=7.5.4, Aufruf=python F:\VS Code Workspace\Main\scripts\run_checks_and_report.py, SHA256=65570151AA983A6A3784D89B589486A214B8A171D1BA22766C1BF17C49F54E30, STOP-Gate=aktiv, Wrapper-Policy=erfüllt, Quellen=F:\VS Code Workspace\Main\.github\copilot-instructions.md;F:\VS Code Workspace\Main\novapolis_agent\docs\DONELOG.txt;F:\VS Code Workspace\Main\scripts\run_checks_and_report.py, Aktion=Automatisierter Checklauf Backend-relevant (PowerShell-Variante archiviert)
Prüfung: ruff=FAIL, black=FAIL, markdownlint=FAIL, frontmatter=FAIL, pyright=FAIL, mypy=FAIL, pytest=STOP (>40 Testdateien), coverage=SKIP (STOP), PSScriptAnalyzerExit=1
Regeln: IDs=R-WRAP,R-STOP,R-FM,R-LINT,R-CTX,R-SEC,R-LOG,R-COV,R-TIME,R-SAFE
Todos: offen=n/a, BeispielFix=Baseline-Report erfasst, ReRun=geplant nach Lint/Typ-Fixes, Fällig=2025-11-12 01:45
- Pfad-Updates Scanner
  - Reports: `.tmp-results/reports/scan_links_reports` (vorher `.../reports/links`)
  - Backups: `.tmp-datasets/lscan_links_backups` (zentral, timestamped Dateien)
- Test: `scripts/scan_links.ps1` ohne AutoFix ausgeführt → Report `link_report_novapolis_agent_YYYYMMDD_HHMMSS.md` erstellt.
- Nächste Schritte: die 1 verbleibende Referenz „mehrere Versionen. (Prüfen“ im `WORKSPACE_INDEX.md` auflösen; danach Rescan + Receipt.

<!-- frühere Frontmatter (2025-11-10 11:35) inhaltlich erhalten, nur nicht mehr als YAML-Block -->

DONELOG – Abgeschlossene Arbeiten
=================================


2026-03-02 23:07 | Copilot | Offline-Sim-Checker gehaertet: `scripts/check_sim_epoch_assets.py` um optionales `--check-slot-consistency` erweitert (FAIL bei Slot-Mismatch world/pc, Slotwerten ausserhalb `0..23`, fehlender Slotdetektion bei vorhandenen Eintraegen). Neue Unit-Tests `tests/scripts/test_check_sim_epoch_assets.py` decken OK/Mismatch/No-Slot/Out-of-Range ab. Verifikation: `pytest -q tests/scripts/test_check_sim_epoch_assets.py` PASS (4/4), Checker-Lauf mit `--allow-empty --check-slot-consistency` -> `summary=fail:0,warn:2`.
2026-03-02 22:49 | Copilot | Sim-Verifikationsablauf dokumentarisch vereinheitlicht: `docs/runbook.md` um festen Kurzablauf `API-smoke -> Godot-headless -> Offline-Asset-Check -> optional Eval` erweitert und mit konkreten Root-Kommandos hinterlegt; begleitend `novapolis-sim/README.md` auf denselben Ablauf synchronisiert. TODO-Sync: `novapolis-dev/docs/todo.sim.md` Runbook-Punkte abgeschlossen und `novapolis-dev/docs/todo.index.md` um `Sim v3.3` ergänzt.
2026-03-02 22:47 | Copilot | Sim-State-Testabdeckung erweitert: `tests/test_api_sim_state.py` um Event-Cap-Truncation, Invalid-`dt`-ValidationError ohne State-Mutation und Reset-Invarianten nach manueller Mutation ergänzt; `tests/tests_sim_api.py` um 422-Fehlerpfade (`dt<=0`, fehlendes `dt`) plus API-seitigen Event-Cap-Test erweitert. Verifikation: `pytest -q tests/test_api_sim_state.py tests/tests_sim_api.py` PASS (5/5), `pyright app/api/sim.py tests/test_api_sim_state.py tests/tests_sim_api.py` PASS, `mypy --config-file mypy.ini app/api/sim.py tests/test_api_sim_state.py tests/tests_sim_api.py` PASS.
2026-03-02 11:11 | Copilot | Sim-API erweitert: `app/api/sim.py` liefert jetzt einen vorbereiteten `sim_meta`-Block im `WorldState` (`mode=baseline`, `seed=null`) und setzt diesen in `reset_state()` konsistent zurueck; Tests in `tests/test_api_sim_state.py` und `tests/tests_sim_api.py` um Vertrags-Assertions fuer `sim_meta` ergaenzt. Verifikation: gezielte Sim-Tests PASS (2/2), mypy auf den drei geaenderten Dateien PASS.
2026-02-27 06:00 | Copilot | DONELOG-Liste strikt absteigend nach Zeitstempel sortiert (neueste zuerst) und fehlerhafte Doppelzeile mit zwei zusammengezogenen Eintraegen getrennt.
2026-02-27 05:14 | Copilot | DONELOG-Kopfbereich zeitlich sortiert (neueste Eintraege oben) und letztes offenes Agent-Board-Taskset abgeschlossen: `.vscode/tasks.json` um `Data: curate from latest (train pack)`, `Data: export+pack (latest results)`, `Train: baseline LoRA (tiny-gpt2, 1-step)` erweitert; `novapolis_agent/README.md` und `novapolis_agent/docs/runbook.md` auf dieselben Labels synchronisiert. Laufbelege: Curate-CLI `--help` PASS, Export auf historischem `quality_de`-Resultset ausgefuehrt (0 Eintraege wegen Source-Path-Drift), Pack-Lauf PASS (`train=90`, `val=10`), Baseline-LoRA-Pipeline PASS (`train_loss=10.4748`).
2026-02-27 05:08 | Copilot | Lokale HF-Lizenztexte fuer `sshleifer/tiny-gpt2`, `TinyLlama/TinyLlama-1.1B-Chat-v1.0`, `Qwen/Qwen2.5-0.5B-Instruct` und `Qwen/Qwen2.5-1.5B-Instruct` unter `docs/vendor_licenses/huggingface/` abgelegt; Status in `docs/vendor_licenses/huggingface/README.md` auf `vorhanden` und im `docs/provenance-register.md` von `gelb` auf `gruen` gesetzt.
2026-02-27 04:57 | Copilot | Compliance-Nachweise fuer KI/TTS strukturiert: neues Gesamtregister `docs/provenance-register.md` (intern/extern + Status), neue Runtime-Akte `docs/tts-voice-provenance-log.md`, neue HF-Lizenzablage `docs/vendor_licenses/huggingface/README.md`; `docs/tts-compliance-policy.md` um Pflicht auf Voice-Provenance erweitert und `novapolis-dev/docs/dataset-provenance.md` auf vollstaendige aktive Dataset-Matrix nachgezogen.
2026-02-27 04:45 | Copilot | LoRA-Baseline operationalisiert: `scripts/fine_tune_pipeline.py` Importdrift behoben (Zeitstempel lokal via `datetime.now().strftime(...)` statt fragiler `now_compact`-Importkette), danach reproduzierbarer Baseline-Lauf ueber Pipeline erfolgreich (`sshleifer/tiny-gpt2`, `batch=1`, `epochs=1`, `max_steps=1`, `lr=0.0002`, `--no-check`) mit Artefakten unter `outputs/lora-baseline-20260227_02/` und Metriken `train_loss=10.4748`, `train_runtime=0.5054s`.
2026-02-27 04:28 | Copilot | Driftkontrolle fuer Trainingsdaten operationalisiert: neues Skript `scripts/eval_drift_report.py` eingefuehrt (KPI-Extraktion aus `results_*.jsonl`, Baselinevergleich, Schwellwertstatus `ok/warning/blocker`), Monats-Baseline `eval/results/baselines/training_profiles.2026-02.json` geschrieben und Vergleichsreport `eval/results/drift/training_profiles_drift_2026-02-27.json` erzeugt (gegen neuesten Lauf `results_20260227_0424_training_profiles_post_novapolis_signal.jsonl`: `status=ok`, `pass_rate_delta=0.0`, failed-check-delta fuer RPG-Hinweis `-6`).
2026-02-27 04:28 | Copilot | Eval-Triage-Fix umgesetzt: `novapolis_agent/scripts/run_eval.py` entfernt `Novapolis` als direkten RPG-Indikator in `check_rpg_mode()` und `rpg_style_score()` sowie aus der RPG-Whitelist fuer den Warnhinweis "Antwort im RPG-Modus, aber Test erwartet allgemeine Antwort". Ziel: Framework-/KI-Name nicht mehr als RPG-Signal fehlklassifizieren. Verifikation per Re-Run: `results_20260227_0424_training_profiles_post_novapolis_signal.jsonl` mit `60/60` PASS und `RPG hits 0/60` (vorher 6/60).
